que_id,que
1,teacher provide weekly content plan with list of required text book ?
2,learning outcomes and grading criteria are clear ? 
3,Explanation with real world exampale ?
4,teacher is punctual ?
5,teacher is good at simulating the intrest in the course content ?
6,teacher is good at explaning the subject metter ?
7,teacher's prationtation was clean loud and easy to understand ?
8,teacher is good at using innovative teacheing method / ways ?
9,teacher is available and helpful during counsiling hours ?
10,teacher was allways fair and impartial ?
